date	reported	nowcast_med	nowcast_lwr	nowcast_upr
2021-01-18	702	1699	1455	2008
2021-01-17	770	1545	1349	1793
2021-01-16	920	1535	1383	1742
2021-01-15	1236	1743	1614	1910
2021-01-14	1514	1920	1814	2066
2021-01-13	1779	2101.5	2018	2213
2021-01-12	2064	2316	2248	2402
2021-01-11	2206	2404	2349	2476
2021-01-10	1958	2117	2071	2174
2021-01-09	2116	2256	2216	2308
2021-01-08	2456	2585	2548	2633
2021-01-07	2619	2733	2700	2777
2021-01-06	2607	2704	2674	2742
2021-01-05	2849	2932	2906	2966
2021-01-04	2994	3066	3042	3097
2021-01-03	2678	2740	2717	2768
2021-01-02	2784	2839	2818	2864
2021-01-01	2727	2777	2757	2805
2020-12-31	2850	2896	2874	2926
2020-12-30	3328	3328	3328	3328
2020-12-29	3706	3706	3706	3706
2020-12-28	3898	3898	3898	3898
2020-12-27	3504	3504	3504	3504
2020-12-26	3332	3332	3332	3332
2020-12-25	3215	3215	3215	3215
2020-12-24	3418	3418	3418	3418
2020-12-23	3480	3480	3480	3480
2020-12-22	3638	3638	3638	3638
2020-12-21	3850	3850	3850	3850
2020-12-20	3545	3545	3545	3545
2020-12-19	3440	3440	3440	3440
2020-12-18	3787	3787	3787	3787
2020-12-17	3763	3763	3763	3763
2020-12-16	4332	4332	4332	4332
2020-12-15	4404	4404	4404	4404
2020-12-14	4512	4512	4512	4512
2020-12-13	3826	3826	3826	3826
2020-12-12	4102	4102	4102	4102
2020-12-11	4091	4091	4091	4091
2020-12-10	4166	4166	4166	4166
2020-12-09	4363	4363	4363	4363
2020-12-08	4386	4386	4386	4386
2020-12-07	4395	4395	4395	4395
2020-12-06	3866	3866	3866	3866
2020-12-05	3757	3757	3757	3757
2020-12-04	3756	3756	3756	3756
2020-12-03	3657	3657	3657	3657
2020-12-02	3989	3989	3989	3989
2020-12-01	3748	3748	3748	3748
2020-11-30	3718	3718	3718	3718
2020-11-29	3269	3269	3269	3269
2020-11-28	3271	3271	3271	3271
2020-11-27	3381	3381	3381	3381
2020-11-26	3460	3460	3460	3460
2020-11-25	3545	3545	3545	3545
2020-11-24	3564	3564	3564	3564
2020-11-23	3681	3681	3681	3681
2020-11-22	3178	3178	3178	3178
2020-11-21	3169	3169	3169	3169
2020-11-20	3364	3364	3364	3364
2020-11-19	3354	3354	3354	3354
2020-11-18	3716	3716	3716	3716
2020-11-17	3680	3680	3680	3680
2020-11-16	3726	3726	3726	3726
2020-11-15	3282	3282	3282	3282
2020-11-14	3135	3135	3135	3135
2020-11-13	3379	3379	3379	3379
2020-11-12	3312	3312	3312	3312
2020-11-11	3587	3587	3587	3587
2020-11-10	3494	3494	3494	3494
2020-11-09	3748	3748	3748	3748
2020-11-08	3257	3257	3257	3257
2020-11-07	3339	3339	3339	3339
2020-11-06	3457	3457	3457	3457
2020-11-05	3428	3428	3428	3428
2020-11-04	3727	3727	3727	3727
2020-11-03	3509	3509	3509	3509
2020-11-02	3594	3594	3594	3594
2020-11-01	3224	3224	3224	3224
2020-10-31	3085	3085	3085	3085
2020-10-30	3144	3144	3144	3144
2020-10-29	2857	2857	2857	2857
2020-10-28	2973	2973	2973	2973
2020-10-27	3012	3012	3012	3012
2020-10-26	3142	3142	3142	3142
2020-10-25	2685	2685	2685	2685
2020-10-24	2488	2488	2488	2488
2020-10-23	2567	2567	2567	2567
2020-10-22	2462	2462	2462	2462
2020-10-21	2386	2386	2386	2386
2020-10-20	2291	2291	2291	2291
