date	reported	nowcast_med	nowcast_lwr	nowcast_upr
2021-01-18	676	1632	1394	1929
2021-01-17	728	1479	1294	1720
2021-01-16	868	1467.5	1318	1655
2021-01-15	1179	1669	1542	1835
2021-01-14	1445	1835	1730	1969
2021-01-13	1701	2008	1927	2114
2021-01-12	1990	2228	2163	2313
2021-01-11	2107	2296	2242	2365
2021-01-10	1881	2035	1991	2092
2021-01-09	2024	2159	2118	2211
2021-01-08	2370	2492	2456	2539
2021-01-07	2530	2638	2606	2682
2021-01-06	2507	2599	2570	2637
2021-01-05	2745	2824	2798	2856
2021-01-04	2900	2968	2946	2998
2021-01-03	2570	2629	2607	2657
2021-01-02	2689	2742	2722	2769
2021-01-01	2659	2707	2686	2736
2020-12-31	2750	2795	2774	2827
2020-12-30	3206	3206	3206	3206
2020-12-29	3574	3574	3574	3574
2020-12-28	3761	3761	3761	3761
2020-12-27	3395	3395	3395	3395
2020-12-26	3214	3214	3214	3214
2020-12-25	3117	3117	3117	3117
2020-12-24	3312	3312	3312	3312
2020-12-23	3352	3352	3352	3352
2020-12-22	3506	3506	3506	3506
2020-12-21	3699	3699	3699	3699
2020-12-20	3392	3392	3392	3392
2020-12-19	3293	3293	3293	3293
2020-12-18	3616	3616	3616	3616
2020-12-17	3584	3584	3584	3584
2020-12-16	4176	4176	4176	4176
2020-12-15	4232	4232	4232	4232
2020-12-14	4335	4335	4335	4335
2020-12-13	3695	3695	3695	3695
2020-12-12	3941	3941	3941	3941
2020-12-11	3933	3933	3933	3933
2020-12-10	4021	4021	4021	4021
2020-12-09	4211	4211	4211	4211
2020-12-08	4243	4243	4243	4243
2020-12-07	4236	4236	4236	4236
2020-12-06	3728	3728	3728	3728
2020-12-05	3618	3618	3618	3618
2020-12-04	3614	3614	3614	3614
2020-12-03	3542	3542	3542	3542
2020-12-02	3838	3838	3838	3838
2020-12-01	3598	3598	3598	3598
2020-11-30	3579	3579	3579	3579
2020-11-29	3155	3155	3155	3155
2020-11-28	3140	3140	3140	3140
2020-11-27	3261	3261	3261	3261
2020-11-26	3303	3303	3303	3303
2020-11-25	3405	3405	3405	3405
2020-11-24	3438	3438	3438	3438
2020-11-23	3543	3543	3543	3543
2020-11-22	3053	3053	3053	3053
2020-11-21	3032	3032	3032	3032
2020-11-20	3221	3221	3221	3221
2020-11-19	3220	3220	3220	3220
2020-11-18	3582	3582	3582	3582
2020-11-17	3536	3536	3536	3536
2020-11-16	3580	3580	3580	3580
2020-11-15	3129	3129	3129	3129
2020-11-14	2988	2988	2988	2988
2020-11-13	3246	3246	3246	3246
2020-11-12	3187	3187	3187	3187
2020-11-11	3443	3443	3443	3443
2020-11-10	3359	3359	3359	3359
2020-11-09	3580	3580	3580	3580
2020-11-08	3143	3143	3143	3143
2020-11-07	3207	3207	3207	3207
2020-11-06	3336	3336	3336	3336
2020-11-05	3284	3284	3284	3284
2020-11-04	3570	3570	3570	3570
2020-11-03	3348	3348	3348	3348
2020-11-02	3428	3428	3428	3428
2020-11-01	3100	3100	3100	3100
2020-10-31	2941	2941	2941	2941
2020-10-30	2975	2975	2975	2975
2020-10-29	2700	2700	2700	2700
2020-10-28	2830	2830	2830	2830
2020-10-27	2853	2853	2853	2853
